user_id,position,start-date,end-date
1,tt,2010-10-5,2010-10-20
46,degree,2012-07-01,2012-07-10
131,tester,2022-06-05,2022-06-10
245,Sr. QA Analyst,2012-09-03,2012-10-22
9092,TA Sales Manager,2020-04-30,2020-06-01
9092,Partner Relationship Manager,2020-06-01,2021-03-01
9094,Sr. Director of Marketing SMB,2017-03-22,2019-03-01
9094,Associate Vice President SMB Marketing,2019-03-01,2019-04-09
9099,Associate Director Cloud Technology EMEA,2012-09-19,2016-03-07
9099,Data Protection Officer,2016-03-07,2016-03-31
9099,Associate Director Cloud Technology & Data Protection Officer,2016-03-31,2018-03-01
9099,Director Cloud Technology & Data Protection Officer,2018-03-01,2020-08-31
9100,Senior Business Intelligence Engineer,2015-11-01,2020-01-31
9100,Senior Database Engineer,2019-10-30,2020-01-22
9100,Senior Data Engineer,2020-01-22,2021-03-01
9126,Delivery Assurance Manager,2019-10-15,2019-12-20
9126,Delivery Assurance Manager,2018-12-14,2019-09-01
9126,Strategic Engagement Manager,2019-12-20,2021-03-01
9126,Client Success Manager,2013-07-28,2018-12-14
9126,Delivery Success Manager,2021-03-01,2021-08-18
9127,Client Success Manager,2017-05-31,2021-02-01
9130,Senior Business Systems Analyst,2014-08-01,2016-03-07
9130,Business Systems Analyst Lead,2016-03-07,2018-03-01
9130,Associate Manager Business Systems Analyst,2018-03-01,2018-03-20
9130,Associate Manager Business Systems Analyst,2018-03-20,2020-02-29
9130,Delivery Manager,2020-02-29,
9131,Senior Manager Program Management,2020-04-30,2020-08-31
9132,Director Talent Management Implementations,2008-01-01,2010-10-01
9132,Performance Consutlant,2003-07-01,2008-01-01
9133,Talent Management System Administrator,2012-11-01,2016-01-31
9133,Customer Support Manager,2002-03-01,2012-11-30
9138,Associate Product manager,2013-05-01,2015-05-01
9145,Service Manager,2017-11-01,2018-09-01
9145,Business Development Manager,2016-04-01,2017-11-01
9145,Business Banking Specialist,2015-04-01,2016-04-01
9145,Office Manager,2014-05-01,2015-04-01
9145,Market President,2012-06-01,2014-05-01
9145,Business Banking Officer,2011-04-01,2012-05-01
9146,Sales Effectiveness Program Manager,2019-04-16,2021-09-01
9147,Solution Consultant - EMEA,2012-04-03,2013-01-04
9147,Solution Consultant,2013-01-04,2016-02-01
9147,Implementation Consultant,2016-02-01,2017-09-01
9147,Senior Implementation Consultant,2017-09-01,2017-09-11
9147,Senior Implementation Consultant,2017-09-11,2018-07-15
9147,Principal Consultant,2018-07-15,2019-01-01
9148,Technical Content Developer,2018-04-01,2018-04-01
9148,Training Program Manager,2016-02-01,2016-02-01
9148,Training Consultant,2010-10-01,2010-10-01
9148,Customer Care Representative,2008-09-01,2008-09-28
9148,Training Coordinator,2004-07-01,2008-09-28
9149,Client Success Manager,2018-03-01,2019-08-31
9149,Delivery Success/Service Delivery Advisory,2019-09-01,2020-12-31
9149,Implementation/Project Management Consultant,2017-10-01,2018-02-28
9149,Technical Strategy Consultant,2017-07-01,2017-09-30
9149,Strategy Manager,2017-01-01,2017-06-30
9149,IT Strategy Consultant,2015-04-01,2017-01-31
9149,Junior Policy Adviser,2014-08-01,2015-04-30
9150,Business Analyst (Product Owner),2019-01-01,2019-09-30
9150,Manger - IT PMO (Digital Marketing),2017-05-01,2019-01-31
9150,Executive - Digital Communication & SEO,2015-07-01,2017-02-28
9150,Assistant Project Manager - SEO,2013-08-01,2015-07-31
9151,Senior Consultant Strategic Services,2018-07-01,2021-01-31
9151,Talent Management Consultant,2014-07-01,2016-07-31
9151,Manager Human Resources and Administration,2012-09-01,2014-07-31
9153,Spanish linguist,2019-06-01,2019-10-31
9153,Editor,2015-06-01,2019-07-31
9153,Copy editor of magazines and education books,2014-01-01,2017-01-31
9153,Sworn translator French-Spanish,2014-01-01,2015-01-31
9153,Commercial Assistant French,2012-09-01,2014-07-31
9153,Translator French-Spanish,2015-01-01,2019-01-31
9153,Copywriter and copy editor,2011-01-01,2012-01-31
9154,Executive Assistant EMEA,2020-04-30,2021-02-28
9154,Facilities Manager,2021-02-28,2021-08-31
9155,Sr. Solution Consultant,2011-01-01,2012-12-31
9155,Implementation Consultant,2009-10-01,2012-01-31
9155,Subject Matter Expert / Project Manager,2001-01-01,2008-01-31
9156,Senior Business Consultant,2020-04-30,2020-11-15
9157,Global Senior Account Executive,2010-12-01,2015-07-31
9158,Director Client Care,2008-11-18,2013-02-01
9158,Operations and Recruiting Manager,2007-08-01,2008-10-20
9158,Various (Business Development Manager),1997-01-01,2007-07-31
9158,Operations Associate,1996-06-01,1996-12-08
9160,Executive Assistant (Community Engagement Specialist),2007-04-01,2014-10-31
9160,Executive Administrative Assistant (Project Coordinator),2014-10-01,2017-08-31
9161,Web Designer / Supervisor at Design Dept.,2005-08-01,2012-05-31
9161,Web Designer,2005-08-01,2005-12-31
9161,Sales / Editor / Graphic Designer / Web Designer,2001-01-01,2001-12-31
9162,HCM Sales Executive Southern Europe,2014-06-01,2016-03-31
9162,Pre Sales Consultant,2001-04-01,2006-05-31
9162,Account Manager/Sales Executive,2007-02-01,2014-05-31
9162,Product Manager,1999-05-01,2000-07-31
